date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200730,14946,15221,15155,15680,264,51,65
20200731,15456,15749,15750,16693,279,3,443
20200801,16119,16637,16467,16973,268,317,124
20200802,17063,16910,17277,17740,466,416,329
20200803,17853,17929,17609,18342,429,465,112
20200804,18527,18697,18469,18892,544,164,325
20200805,19015,19558,19415,19285,399,20,454
20200806,19856,20665,22053,21468,101,2524,1131
20200807,20891,20798,21213,21484,433,297,440
20200808,21930,21984,21923,21849,644,1142,599
20200809,22928,23029,22694,23437,621,131,36
20200810,23903,24251,23687,24374,437,20,69
20200811,24889,25120,25177,25351,621,210,216
20200812,25889,26117,26024,26507,693,13,648
20200813,26909,27195,27222,28141,599,111,1264
20200814,27936,28390,28316,28340,1002,90,300
20200815,29013,29192,33266,31033,618,5528,1582
20200816,30041,31184,30524,34042,278,178,3685
20200817,31206,31503,32060,33679,652,503,1712
20200818,32696,33158,33229,34244,1368,1442,246
20200819,34400,34312,34394,36145,804,593,1456
20200820,36084,36159,35524,37968,900,231,2127
20200821,37824,37671,37723,38636,882,951,636
20200822,39327,39508,39219,39924,694,573,411
20200823,40643,41473,41412,39872,633,1035,1444
20200824,41779,42687,42711,41945,1466,78,638
20200825,43284,44398,48412,44659,799,5889,271
20200826,44577,46095,45960,45432,1031,34,1806
20200827,46090,47230,46906,49048,759,520,200
20200828,47836,48382,48768,51836,1063,250,1002
20200829,49378,50128,50473,52921,1395,773,489
20200830,50848,52184,52070,54008,1122,49,1541
20200831,52526,53465,53893,56274,600,285,288
20200901,53992,55079,55472,56822,1196,382,1910
20200902,55508,56775,57790,59586,1377,176,1198
20200903,56989,58710,59174,60204,438,482,2008
20200904,58515,59572,60720,63404,1385,474,1397
20200905,60013,61564,62151,67202,2417,767,1566
20200906,61527,62892,64139,69850,1671,733,2465
20200907,63473,64709,66677,71974,2161,852,2213
20200908,65583,67274,71874,76609,391,5995,6893
20200909,67547,69189,71795,75014,920,4302,763
20200910,69684,71339,70896,75182,2883,1291,1802
20200911,72143,72578,74400,76604,1957,2054,561
20200912,74616,75700,75501,78356,2592,179,3173
20200913,77057,78019,79006,81156,2554,1520,2012
20200914,79679,80578,80800,88071,2644,303,5573
20200915,82113,83842,83970,83909,1971,694,5013
20200916,84482,85944,86178,87743,2299,633,3067
20200917,87184,88881,89523,89353,1483,1030,4657
20200918,90032,92204,91751,93416,430,473,3709
20200919,92833,94433,94096,105341,3182,348,9140
20200920,95529,97508,96242,105848,3323,1336,6725
20200921,97689,101052,102472,103420,1229,2324,2712
20200922,99930,105128,103793,107155,1753,78,1944
20200923,101341,105260,105604,107266,3470,1237,6850
20200924,103464,106267,107627,118121,2539,389,3818
20200925,105220,108800,111819,117778,1804,1106,1373
20200926,107096,110180,113580,124357,3759,966,4130
20200927,108684,112934,115437,134333,2885,1100,11326
20200928,110106,114774,116891,126004,2584,528,3599
20200929,111375,115717,120045,129371,2169,1621,2371
20200930,112460,116917,122545,132747,4197,2927,142
20201001,113886,117709,122996,142048,2326,1228,9104
20201002,115151,119047,124265,138008,3163,611,2328
20201003,116213,120274,125028,136105,3246,1100,6970
20201004,117319,121243,126451,139391,3322,189,4683
20201005,118157,123916,142499,139572,1833,19746,7045
20201006,119184,125430,130156,152837,2187,1960,9213
20201007,120016,125308,132112,144964,2306,4432,4190
20201008,120860,126775,134144,147389,1794,6618,1092
20201009,121716,126182,132061,153273,3644,1787,4509
20201010,122459,127773,132128,152557,4054,870,1235
20201011,123317,129485,133570,146656,720,483,9029
20201012,123973,129248,134749,145960,3306,288,10093
20201013,124535,134010,134774,146300,684,1330,10166
20201014,125211,131378,140658,152629,1517,7282,4078
20201015,125760,131364,137479,149862,5033,3412,8642
20201016,126230,132522,136698,155617,3079,590,2288
20201017,126737,133019,137807,153170,2301,75,6023
20201018,127154,132812,141988,154094,3986,5832,7767
20201019,127630,132076,138347,157436,3271,1781,2902
20201020,128103,133888,141527,168840,3295,1806,13183
20201021,128590,133980,144253,155309,3203,5442,10328
20201022,129088,135079,140299,170779,3175,271,13754
20201023,129693,134779,144359,162296,1933,6608,1394
20201024,130157,136098,144555,155079,4358,5448,9165
20201025,130640,136007,142063,161136,3275,2652,3381
20201026,131055,135267,143686,158423,2941,2302,8204
20201027,131391,140065,142084,155973,2725,454,9817
20201028,131737,134972,144517,175564,1261,1622,14162
20201029,132263,135751,144604,156360,1571,5268,12545
20201030,132727,137735,143773,158713,2973,508,8243
20201031,133158,136552,143449,161249,1021,1215,5418
20201101,133658,135852,143548,163034,105,1276,2992
20201102,133975,136943,144456,168494,418,1168,2172
20201103,134371,136666,145931,166922,223,85,826
20201104,134786,140740,145908,166341,2964,765,243
20201105,135313,141418,146067,166478,1930,348,448
20201106,135834,142777,150101,167188,3517,8530,299
20201107,136481,142701,146562,167195,3244,1296,305
20201108,136958,142757,147840,168101,2052,1292,1760
20201109,137445,143019,148366,167811,3449,1763,1359
20201110,137999,143551,149846,164591,3367,3572,6376
20201111,138485,143400,150419,163820,2981,1945,6667
20201112,139184,146833,149221,163784,7974,1327,7261
20201113,139869,142735,152090,168800,657,4357,4965
20201114,140605,145049,151472,165705,2512,1413,7358
20201115,140605,146284,150798,174217,3128,394,13894
20201116,141658,144398,150752,168227,2173,916,5763
20201117,142082,146091,152049,168155,1083,1077,7467
20201118,142597,147358,151988,169293,1175,94,1364
20201119,143395,148831,153216,173116,1661,367,435
20201120,144177,150624,152559,171845,2618,130,2266
20201121,144995,147805,152588,171713,1398,446,3133
20201122,145667,148859,155469,166051,32,476,7274
20201123,146346,149966,155957,175173,956,192,952
20201124,147057,156250,156518,175656,1763,857,147
20201125,147665,151778,156421,176169,1781,858,1359
20201126,148435,151010,156628,176828,1538,1228,691
20201127,149278,154816,158304,176823,2472,718,1745
20201128,150086,153414,159572,178002,1205,1227,304
20201129,150805,161315,159622,179214,5669,179,633
20201130,151538,154461,160114,178225,658,243,756
20201201,152091,154177,163172,180464,137,3042,326
20201202,152709,154830,161935,181192,903,971,597
20201203,153308,156603,162656,181490,525,99,179
20201204,154064,156878,164122,182285,808,242,468
20201205,154788,162404,164245,182649,3718,836,754
20201206,155424,163869,166729,183217,2637,2036,613
20201207,156226,158625,165375,185205,403,485,620
20201208,156839,158756,165939,183912,276,291,44
20201209,157331,160691,166621,184548,22,240,918
20201210,157928,160109,167567,192791,405,51,9843
20201211,158556,161694,168330,185463,888,532,462
20201212,159099,161368,168423,186713,259,105,394
20201213,159579,165377,168960,188493,1630,381,229
20201214,160200,162876,169450,189071,1105,29,24
20201215,160659,166542,170391,191067,2608,613,3
20201216,161053,163895,170551,190452,507,579,996
20201217,161383,164171,171666,189754,562,855,2238
20201218,161831,168810,171935,191335,372,183,821
20201219,162270,167138,172244,191034,3995,1329,464
20201220,162705,169185,172717,192216,6318,75,566
20201221,163042,165512,172455,193230,298,156,774
20201222,163378,166748,173375,193253,1246,420,1362
20201223,163665,166272,173589,193134,605,999,769
20201224,164145,168917,174542,194156,4003,276,319
20201225,164505,171087,174483,194459,3635,387,1140
20201226,164821,167301,174955,194308,596,1366,377
20201227,165126,169059,175284,194398,237,112,314
20201228,165405,170019,175795,194143,3058,500,406
20201229,165668,171640,176443,195043,4677,1251,973
20201230,165878,168969,176146,195827,1333,523,452
20201231,166239,173415,175719,196211,5695,413,930
20210101,166522,169620,176450,195918,459,201,139
20210102,166770,170204,176623,197313,743,1158,3192
20210103,167012,169810,177178,195948,627,414,1474
20210104,167219,171665,177111,195446,373,1217,1826
20210105,167441,170129,177914,196335,434,2043,964
20210106,167652,173557,177302,196981,5401,947,1464
20210107,167910,171488,178230,195839,2293,355,321
20210108,168187,172386,178560,211642,721,401,17953
20210109,168486,171474,177823,197930,923,49,295
20210110,168734,175372,184982,197969,3096,9181,544
20210111,169033,173288,179967,198119,1980,2005,595
20210112,169225,171830,179332,197509,655,577,75
20210113,169479,171922,178767,198212,488,463,500
20210114,169737,172690,185683,198854,382,8540,300
20210115,169950,173556,179705,198108,126,282,1187
20210116,170191,173148,181203,198191,346,748,1712
20210117,170366,173089,179758,198980,1024,1267,496
20210118,170605,173764,180153,198876,1146,22,444
20210119,170729,173470,180097,198758,644,177,1295
20210120,170937,173656,180785,197243,527,507,787
20210121,171136,174350,180695,199763,194,248,239
20210122,171316,174001,180389,199490,1160,743,563
20210123,171522,178099,181135,199957,1113,367,517
20210124,171733,174910,181798,199058,1996,237,181
20210125,171930,178561,180249,200138,3731,141,156
20210126,172089,174913,181582,198947,457,468,45
20210127,172218,178708,181893,199235,3424,512,15
20210128,172406,181740,181662,201361,1328,323,563
20210129,172606,179244,182208,199179,21,1526,614
20210130,172860,178533,183280,201276,3091,1487,37
20210131,173084,174950,182994,200590,5,1477,172
20210201,173276,175565,182225,202054,213,276,1872
20210202,173470,177206,183268,200401,479,2490,114
20210203,173674,175823,183106,199564,79,1535,1346
20210204,173861,176659,182715,200868,1179,285,1796
20210205,174057,180266,185425,200176,3888,3066,247
20210206,174256,178603,183836,201177,2853,790,783
20210207,174439,181021,182979,201681,2709,51,278
20210208,174646,179790,183210,202036,520,516,2144
20210209,174838,177285,183554,200723,631,1093,322
20210210,175023,177861,183558,201002,412,952,323
20210211,175252,182723,183654,201237,3288,285,824
20210212,175558,180396,183926,211300,1567,405,9549
20210213,175804,180746,184652,202020,4547,560,213
20210214,176064,183006,184477,202091,0,68,1877
20210215,176296,180106,184713,201930,1819,290,400
20210216,176520,180106,184606,201515,1819,0,575
20210217,176767,179677,186641,202622,108,2436,1109
20210218,177101,180281,186641,201951,395,2436,344
20210219,177376,180150,186005,202046,744,894,193
20210220,177759,180921,185118,202976,1290,409,425
20210221,178111,183751,185810,202696,4091,385,926
20210222,178459,182995,186420,202696,1711,797,926
20210223,178847,181270,186598,202970,604,65,220
20210224,179261,181905,196553,204813,161,13643,556
20210225,179819,182857,187175,202504,1335,477,54
20210226,180382,185943,187457,204474,3126,845,1981
20210227,181004,184090,189798,203509,1933,2080,409
20210228,181597,186587,188345,205376,1860,272,1167
20210301,182176,188994,189481,204365,1929,633,280
20210302,182809,187630,192194,204736,2731,3049,48
20210303,183538,185842,190582,205656,1174,319,7
20210304,184310,186444,194063,204859,367,1096,366
20210305,185381,187923,191787,206946,563,580,367
20210306,186189,189276,191796,206160,330,268,282
20210307,187348,193144,197136,208042,3024,5861,603
20210308,188391,189270,194589,208283,237,538,1762
20210309,189620,194059,194949,211671,4176,472,831
20210310,190647,192182,199346,210211,715,3172,132
20210311,192040,195498,196969,209506,2212,60,130
20210312,193345,195020,198448,210431,1180,636,273
20210313,194753,195635,199320,212826,38,249,1606
20210314,196263,199990,208681,213352,812,11372,460
20210315,197755,200715,202024,215072,1051,481,472
20210316,199573,203174,203083,215644,1147,29,1765
20210317,201036,205894,205145,217608,3257,353,480
20210318,203049,207564,208302,218418,3421,2143,2005
20210319,205418,210266,211658,220304,7171,2638,717
20210320,207888,212198,209990,221434,1326,10,867
20210321,210466,212478,219823,222427,3198,8091,596
20210322,213110,212619,215583,227765,7,495,6311
20210323,215409,217498,222006,225499,2600,6949,756
20210324,217663,219328,219404,229386,511,2,2388
20210325,220276,224795,224372,229911,3472,2921,793
20210326,222937,228951,227003,233452,792,4138,833
20210327,226059,230116,227339,235148,3207,126,1188
20210328,228864,233915,229869,238891,1421,507,337
20210329,231734,236281,233461,241080,3754,495,167
20210330,234602,235264,235603,243479,121,220,758
20210331,236790,238173,239339,246292,85,572,811
20210401,239734,241372,243371,249327,721,1896,387
20210402,242895,247004,247124,252035,939,2786,1316
20210403,245768,249593,246698,256292,703,848,217
20210404,248454,249826,252028,258447,476,3308,57
20210405,251460,253234,253613,260897,3190,1762,1046
20210406,254152,259272,256988,263629,3322,87,587
20210407,257057,255765,259192,268318,2740,676,2167
20210408,260020,267851,262450,269777,487,1174,1554
20210409,263090,264053,262555,271841,193,1449,87
20210410,266494,267837,267851,275972,1181,487,2067
20210411,269733,275108,271412,279877,3691,779,134
20210412,272772,274508,273247,282764,505,323,1886
20210413,276223,278368,277666,283247,2362,1749,278
20210414,279203,283866,281881,287898,436,1350,1148
20210415,282505,293427,283907,293460,14614,1512,745
20210416,286816,287453,292067,295093,1107,6843,1053
20210417,290707,291637,304795,299670,876,14814,1452
20210418,295138,294063,294065,301853,1114,430,602
20210419,300038,298622,299305,306572,198,1286,836
20210420,304660,307451,302037,308220,6410,1349,92
20210421,309316,308546,308495,314775,1732,3373,701
20210422,314269,313663,315447,315815,275,3851,23
20210423,319719,319785,317979,322097,1150,317,592
20210424,326447,325574,321274,324792,184,364,1342
20210425,332110,336322,327386,332863,5420,143,1752
20210426,339090,337887,333965,335757,162,836,1646
20210427,345366,344474,355657,341918,1727,9660,1394
20210428,351282,349768,346045,345207,1204,631,2733
20210429,358186,362659,352443,352138,2895,179,1280
20210430,364910,364113,362723,357223,263,3027,835
20210501,370973,375942,370018,367169,5314,6279,2409
20210502,377990,378084,374801,371487,73,1679,462
20210503,385270,384316,379130,381929,532,805,953
20210504,392042,401131,386474,387358,621,1264,2729
20210505,399556,399209,399435,393333,312,4953,3209
20210506,407509,409755,401131,401296,1010,621,648
20210507,416350,417756,408349,459699,9283,2080,67063
20210508,424647,421713,416369,414892,6922,1001,1594
20210509,433689,439507,424498,421062,2823,252,2059
20210510,442125,448438,428683,432507,1012,2936,885
20210511,450674,452239,442706,439348,1162,1701,1088
20210512,459268,460562,449165,447131,744,17,32
20210513,467539,471909,460037,457979,9476,981,2176
20210514,475949,477700,468312,458927,1058,377,1524
20210515,483984,490161,478405,474788,7428,912,1982
20210516,490755,498560,496433,486452,2214,4269,2385
20210517,497705,502440,497157,496895,918,2466,2889
20210518,504586,504564,503947,505787,2345,1985,3122
20210519,511652,512466,510264,513473,1241,1394,1111
20210520,517954,524077,516657,525365,7273,1409,1000
20210521,523423,539342,529080,537073,2847,2523,2145
20210522,528676,538328,533775,542524,1768,76,1919
20210523,533973,539205,540241,554166,2418,3942,2552
20210524,538994,557103,545689,559824,1455,1188,199
20210525,543475,549623,550458,567491,2013,711,1707
20210526,548231,551680,561417,573173,3207,7556,1581
20210527,552235,551680,560399,581520,3207,1913,607
20210528,556089,561815,565306,585910,3714,389,938
20210529,559795,565908,565306,593388,1519,389,3070
20210530,562831,576447,573786,595689,6469,914,2542
20210531,565415,571031,587944,604156,500,17023,1787
20210601,567607,579713,582416,610081,3912,1973,46
20210602,569756,578881,585155,610081,5083,328,46
20210603,571970,584597,587639,621539,3088,2182,3241
20210604,574114,600250,594295,623582,1556,2342,5719
20210605,576119,590836,593804,626557,12863,556,645
20210606,577997,588191,603036,631125,6654,2384,2067
20210607,579560,586298,600689,633146,2498,4656,5319
20210608,580829,596472,602419,636564,3886,2971,2637
20210609,582081,590766,601869,639379,252,1681,1750
20210610,583474,591052,603568,639525,1826,442,234
20210611,584785,593325,614527,642857,2495,14933,1898
20210612,585986,596268,605031,642169,6581,1415,1073
20210613,586947,610906,606718,646500,2226,652,1164
20210614,587903,600192,606049,650095,2469,523,3989
20210615,588525,606996,612034,648376,12493,3822,1331
20210616,589153,603658,610134,704691,1521,540,74559
20210617,589828,602821,614138,652160,7002,2977,951
20210618,590556,606747,611553,651584,7501,836,187
20210619,591168,602273,616056,656080,4819,4142,639
20210620,591762,610084,612574,653393,6714,739,3872
20210621,592303,607097,614851,654371,11804,1712,5244
20210622,592658,610083,616212,655219,7628,1954,2296
20210623,593063,617206,614415,659739,19715,1455,1340
20210624,593572,609975,615291,665167,5819,263,3353
20210625,593941,600614,623521,665619,432,10784,252
20210626,594279,603187,616956,660080,99,1049,1183
20210627,594586,605100,622955,656819,1011,7589,1738
20210628,594883,602454,616157,659655,4222,877,3379
20210629,595136,607734,617432,660297,8607,1612,2637
20210630,595351,604991,620372,657982,108,3342,494
20210701,595609,603063,619717,661169,1615,524,4077
20210702,595899,610760,617846,664075,10505,1637,1975
20210703,596094,605732,619095,660230,2062,232,1364
20210704,596265,604056,620821,658036,602,2258,646
20210705,596416,609356,622579,660994,5213,3953,2325
20210706,596550,605760,617581,660907,4546,479,1473
20210707,596736,607434,627692,661187,3612,16086,5424
20210708,596970,604481,618611,658289,493,2907,1878
20210709,597195,605194,623093,662673,1150,10220,3552
20210710,597347,619167,616831,660026,1304,1212,4261
20210711,597469,612891,622685,662694,3259,4452,3583
20210712,597598,612311,619167,664294,7584,1304,46
20210713,597714,620063,617198,664734,553,2832,879
20210714,597821,605387,623566,660520,3996,5635,876
20210715,597929,606821,620102,660554,3829,497,896
20210716,598027,611222,620598,663300,2296,384,295
20210717,598130,612229,621829,659990,10469,1821,2193
20210718,598248,609553,619653,661621,2744,1268,963
20210719,598334,606970,619643,659051,798,305,1889
20210720,598387,609585,623806,664886,4094,694,246
20210721,598455,615021,621953,661934,6414,1265,5219
20210722,598521,617497,621445,660625,11,2341,243
20210723,598590,611686,620995,661782,5970,2036,29
20210724,598658,604240,617497,660539,1181,11,3986
20210725,598741,607403,619378,662459,3513,1956,1198
20210726,598794,608310,632394,661418,797,13878,1722
20210727,598840,608769,632140,659935,6488,19164,394
20210728,598882,614952,621378,660145,5882,459,3505
20210729,598947,604594,623061,659892,1053,4824,230
20210730,599005,611666,621148,662449,4926,3919,3788
20210731,599053,606241,619525,660159,63,165,1091
20210801,599104,612710,625782,658159,5787,11053,405
20210802,599130,607252,619050,659215,4319,804,2827
20210803,599162,618575,622677,660609,1068,8310,3089
20210804,599204,610795,621805,660940,4073,1434,2706
20210805,599266,611256,624356,662681,3420,2774,915
20210806,599304,610816,618670,663489,2000,1122,495
20210807,599365,614245,620410,661355,7749,1339,2165
20210808,599428,610938,619521,659401,2439,1486,1626
20210809,599482,611083,619235,658928,5761,693,2447
20210810,599514,616101,618881,659262,4563,1082,1
20210811,599573,607337,623243,660334,5070,3709,7262
20210812,599678,617438,622685,655393,3214,4749,3797
20210813,599758,608302,619432,662026,2137,2183,372
20210814,599846,609394,619320,658741,2270,553,2977
20210815,599896,622324,619541,660067,5729,988,1009
20210816,599942,618189,617706,652981,19748,357,2057
20210817,599972,618168,625852,658767,18433,1202,356
20210818,600008,617715,632083,658099,2832,99,1463
20210819,600060,622809,625516,656065,5091,8041,1203
20210820,600123,605793,619094,657209,694,882,1072
20210821,600180,602551,627589,657923,224,11852,242
20210822,600225,601707,618969,657578,112,2433,996
20210823,600266,601710,620763,657958,272,2668,762
20210824,600292,602121,624212,655505,298,1285,513
20210825,600342,603062,625491,657373,533,956,3713
20210826,600378,603956,627981,657285,643,819,1316
20210827,600420,605524,628262,663940,445,2934,2276
20210828,600463,606681,629942,664041,744,121,1744
20210829,600514,607985,627837,664667,1188,1594,4746
20210830,600551,608732,630065,662847,933,406,1099
20210831,600576,609570,630728,667936,1179,643,2639
20210901,600614,609707,630277,669901,383,500,4180
20210902,600651,610662,631294,664830,299,813,1818
20210903,600715,610850,629841,669686,445,1387,1348
20210904,600745,611137,630496,668598,112,20,190
20210905,600780,611012,631817,667675,107,577,534
20210906,600813,611607,631443,667703,42,2271,3673
20210907,600849,611406,631047,665549,565,195,2111
20210908,600877,611257,632416,670706,71,1273,2989
20210909,600914,611574,631694,666979,27,176,362
20210910,600940,611333,631295,670369,442,479,3559
20210911,600970,611551,630687,670950,384,66,3557
20210912,601009,611494,630977,672833,315,1031,1379
20210913,601040,611532,631630,670734,85,494,13
20210914,601072,611478,632849,666681,83,1285,1865
20210915,601109,611474,631474,670306,348,689,1126
20210916,601150,611549,630905,667708,240,587,1419
20210917,601180,611077,631173,668236,518,130,1715
20210918,601206,611584,632319,670003,6,117,7
20210919,601236,611536,631635,670768,748,489,10
20210920,601264,611468,631997,670581,235,334,2200
20210921,601323,611118,632689,666110,289,1323,1550
20210922,601359,611431,631555,670014,75,587,381
20210923,601401,611400,631414,667960,428,309,1188
20210924,601422,611513,629912,668298,252,1081,2511
20210925,601444,611748,631525,664305,44,37,5466
20210926,601468,611255,631548,667764,257,1978,225
20210927,601500,611925,631518,665801,261,768,2941
20210928,601538,611487,630595,670124,217,338,738
20210929,601578,611702,631872,660990,690,50,11399
20210930,601600,611111,632409,661397,34,194,9779
20211001,601635,611214,631751,660886,192,387,3017
20211002,601662,611776,631391,664301,71,778,5553
20211003,601698,611776,631070,662660,71,655,6077
20211004,601722,611987,631835,667248,461,1555,5123
20211005,601739,611504,631835,668234,113,1555,61
20211006,601752,611546,630401,665364,159,856,74
20211007,601782,611715,631331,666191,40,1130,202
20211008,601805,611645,630772,666786,88,695,180
20211009,601821,611267,630022,666786,27,476,180
20211010,601849,611828,631185,666652,32,359,357
20211011,601876,611631,629829,665485,28,835,2220
20211012,601894,611570,629861,666581,45,119,633
20211013,601913,611550,630790,667827,56,204,2899
20211014,601938,611525,632667,666135,428,167,3089
20211015,601971,611829,631309,668551,434,973,655
20211016,601992,611529,630085,663379,172,517,2502
20211017,602008,611806,630796,666153,465,477,1043
20211018,602035,611714,630983,665154,222,1089,2647
20211019,602059,611767,629710,666964,288,204,88
20211020,602081,611715,630096,668184,206,812,2898
20211021,602113,611608,630072,665674,227,128,1120
20211022,602135,612013,630732,667582,264,1246,1104
20211023,602163,611693,630908,664821,312,465,1367
20211024,602189,611791,631207,667653,169,2014,1282
20211025,602209,611848,631642,665409,20,48,433
20211026,602238,611761,630532,664610,199,296,1128
20211027,602251,611669,629998,667074,408,1448,3543
20211028,602289,612135,629783,663911,70,307,3181
20211029,602320,612022,630302,662137,330,165,3338
20211030,602349,612204,630255,663267,123,515,3013
20211031,602375,611876,630086,663920,505,695,1319
20211101,602401,611773,629747,662986,119,558,831
20211102,602420,611695,630846,664737,26,615,981
20211103,602434,611631,630386,664080,247,180,2791
20211104,602466,611939,630277,662726,305,1454,2989
20211105,602466,611710,631523,661742,489,770,2627
20211106,602496,611936,628819,664015,420,735,1033
20211107,602517,611478,631497,665270,78,343,2548
20211108,602550,612150,630685,664135,5,635,1839
20211109,602584,611924,630967,662988,348,1555,1597
20211110,602616,612132,630005,661532,162,314,1174
20211111,602647,611665,629776,662617,383,1198,143
20211112,602695,612146,630586,663018,135,969,604
20211113,602733,612113,628973,661887,191,886,659
20211114,602778,611914,630418,665445,107,200,2453
20211115,602795,611787,630263,663895,223,493,2
20211116,602825,612655,629031,662268,171,148,1009
20211117,602833,612076,629258,662586,383,987,1215
20211118,602870,611928,629867,661848,29,1861,1579
20211119,602906,611922,630354,661033,297,1570,1198
20211120,602943,612277,630501,661670,324,2263,1908
20211121,602956,611939,630505,663624,106,1059,3291
20211122,602980,612139,629026,661645,189,708,3277
20211123,603002,612241,628444,659600,8,428,1531
20211124,603043,612223,629793,660643,25,1262,1393
20211125,603095,612220,629955,664339,226,285,2028
20211126,603132,611992,628622,660729,42,166,1275
20211127,603173,612473,629579,661340,50,247,573
20211128,603190,612137,629324,661283,168,191,1466
20211129,603240,611783,629943,661312,211,119,2330
20211130,603258,612491,629411,661437,71,270,609
20211201,603279,612366,628790,660384,62,1163,768
20211202,603320,612089,629827,660502,62,1230,2769
20211203,603352,612279,629012,662095,196,232,83
20211204,603410,612595,628439,660086,170,1095,1527
20211205,603451,612340,629040,662637,301,1323,1415
20211206,603488,612272,629982,659617,3,328,821
20211207,603509,612308,629030,660870,634,394,2002
20211208,603556,612528,628782,661691,95,99,1449
20211209,603578,612504,629146,658617,290,624,2346
20211210,603638,612259,629298,660858,123,792,473
20211211,603674,612580,629840,659852,63,499,561
20211212,603697,612820,630894,660173,250,1289,885
20211213,603739,612266,629820,661693,233,197,1763
20211214,603761,612228,628970,660998,88,457,1657
20211215,603780,612731,629783,663138,23,1480,1187
20211216,603814,612522,628758,660950,370,1309,2944
20211217,603853,612550,629504,660850,164,53,2369
20211218,603892,612347,628594,660475,35,395,984
20211219,603917,612762,629154,658572,293,1017,1617
20211220,603962,612995,628526,658359,486,588,672
20211221,603986,612637,628082,658242,85,838,1483
20211222,604008,612510,628596,661194,53,73,3124
20211223,604058,612975,629426,660471,213,696,1030
20211224,604092,612879,631425,659712,57,2428,746
20211225,604133,612923,630208,660580,316,1281,686
20211226,604187,612649,628523,658783,474,780,3989
20211227,604236,612980,629685,658196,78,425,676
20211228,604279,612852,629185,658841,415,116,1120
20211229,604331,612511,628181,661466,170,1309,793
20211230,604428,613186,629419,659635,316,462,905
20211231,604594,613133,628953,659692,141,329,1577
20220101,604810,613144,628967,659863,55,555,698
20220102,605126,613595,629912,660057,37,816,55
20220103,605509,613823,628972,659649,95,40,2598
20220104,605922,613727,629370,659945,334,381,1094
20220105,606927,614659,628990,660008,326,2316,1201
20220106,608723,615475,630443,656546,288,1220,1506
20220107,611102,617219,632564,662001,263,1459,2028
20220108,613976,619516,632491,660182,5,1041,1082
20220109,617536,622554,634226,659960,486,1142,1381
20220110,621419,625984,635953,660288,150,960,42
20220111,625347,630097,639394,662107,268,344,278
20220112,629899,634048,644136,664624,132,761,2602
20220113,636243,638697,647001,661586,291,995,679
20220114,642182,645036,650695,664070,27,351,615
20220115,649736,651195,655400,665659,5,27,2916
20220116,656549,658666,660412,674410,319,422,791
20220117,663867,665626,667108,677776,324,1495,775
20220118,670460,672973,675817,681339,278,363,3092
20220119,676947,679695,683783,685773,165,482,1843
20220120,684664,686438,690450,691964,158,2401,201
20220121,692526,694025,696591,698318,201,274,1966
20220122,700222,702336,703939,710005,326,1816,1599
20220123,707847,709818,712584,712593,489,236,1726
20220124,713445,717757,720429,723015,599,1509,3569
20220125,719142,723504,727565,732343,20,1769,2942
20220126,723052,728836,736816,736209,433,627,321
20220127,728042,733296,742314,743948,116,780,534
20220128,732135,738029,747939,752329,103,1338,104
20220129,735139,742121,751944,761461,351,1078,2878
20220130,738405,745385,757495,771721,53,416,470
20220131,741185,748717,760908,775747,33,969,940
20220201,743532,751260,764917,783852,178,78,585
20220202,745129,753717,769094,787339,207,718,3622
20220203,746837,755755,772682,790492,27,1010,2424
20220204,748991,757167,772015,797849,153,901,921
20220205,750272,759507,774350,800143,622,1997,2810
20220206,751246,760575,777548,803510,511,188,1817
20220207,752001,762001,779398,803686,179,75,868
20220208,752635,762227,780004,812831,364,474,409
20220209,753124,762832,780719,810606,245,950,662
20220210,753789,763482,779841,811653,433,701,1856
20220211,754367,764031,781753,815814,44,1723,248
20220212,754812,764498,782261,815467,14,1145,3757
20220213,755234,765132,782359,817705,297,759,1253
20220214,755561,765531,784153,816543,201,635,3013
20220215,755858,765729,784665,818106,29,1042,299
20220216,756130,766593,783770,818893,619,228,2462
20220217,756456,766419,785128,820303,550,153,3588
20220218,756725,766533,784910,821443,125,939,2053
20220219,756899,766776,785433,820890,230,477,4085
20220220,757090,767136,785372,819190,259,77,1513
20220221,757257,767114,785937,821554,20,1461,2605
20220222,757358,767426,785927,819302,412,585,1072
20220223,757475,767638,785463,821012,347,381,2534
20220224,757635,767557,786999,823346,610,377,656
20220225,757739,767623,786601,819955,246,584,2154
20220226,757859,767829,787431,821445,136,234,985
20220227,757980,767807,786900,822479,163,2041,1095
20220228,758047,768004,786507,823888,619,1293,1720
20220301,758091,767936,787810,821252,57,1036,1763
20220302,758139,767995,787247,820783,506,1466,1397
20220303,758196,768317,787106,824381,211,154,2360
20220304,758259,768153,786777,820087,449,1353,1839
20220305,758352,768402,787370,819659,45,1389,2434
20220306,758412,769000,786050,821330,301,1047,1525
20220307,758453,768955,788330,822661,140,1512,1961
20220308,758488,768383,788411,820910,259,887,291
20220309,758517,768632,786801,822520,512,1495,73
20220310,758562,768544,786531,823368,243,430,4112
20220311,758602,768679,787776,821607,199,213,988
20220312,758643,768549,787984,820532,121,669,3482
20220313,758673,768468,787333,820414,51,351,2300
20220314,758704,768724,788509,822791,451,2947,2311
20220315,758749,769063,787523,820357,138,606,926
20220316,758793,768636,787338,820736,71,691,1799
