date,total_cases,preds_cases,preds_cases_3,preds_cases_7,preds_cases_std,preds_cases_3_std,preds_cases_7_std
20200425,94,109,107,0,8,8,0
20200426,94,103,110,119,1,6,3
20200427,103,105,121,131,5,9,5
20200428,118,125,123,137,18,3,3
20200429,118,137,122,143,10,5,6
20200430,125,142,136,151,16,11,5
20200501,143,144,155,164,13,12,5
20200502,154,157,151,162,3,10,4
20200503,160,184,160,158,22,11,8
20200504,162,167,188,176,3,26,12
20200505,169,181,190,194,9,12,8
20200506,175,185,195,191,10,18,7
20200507,185,197,194,200,20,10,8
20200508,219,215,210,226,23,19,12
20200509,271,226,220,240,35,27,13
20200510,294,315,222,229,53,7,7
20200511,377,317,237,237,2,27,10
20200512,414,327,322,250,32,11,12
20200513,437,461,345,254,35,9,15
20200514,538,493,350,270,34,24,13
20200515,611,494,482,280,41,10,25
20200516,672,678,504,391,52,21,17
20200517,737,739,528,416,31,31,13
20200518,828,812,756,425,37,74,15
20200519,876,951,795,603,95,40,21
20200520,978,992,891,615,74,70,36
20200521,1052,1105,1004,639,100,73,29
20200522,1103,1115,1039,894,15,52,48
20200523,1189,1187,1201,982,5,87,17
20200524,1269,1281,1210,1067,23,17,38
20200525,1336,1373,1297,1193,23,47,39
20200526,1438,1462,1455,1241,40,139,29
20200527,1517,1547,1474,1432,14,37,79
20200528,1593,1685,1578,1507,78,85,96
20200529,1660,1702,1660,1572,5,54,90
20200530,1723,1795,1732,1777,33,49,187
20200531,1819,1910,1841,1753,96,67,24
20200601,1948,2081,1969,1878,190,131,70
20200602,2104,2084,1965,2036,15,37,138
20200603,2245,2263,2193,2271,25,157,225
20200604,2388,2413,2244,2335,5,26,215
20200605,2478,2686,2490,2274,172,152,17
20200606,2608,2717,2567,2387,29,33,73
20200607,2781,2818,2731,2632,50,79,303
20200608,2856,3027,2911,2797,11,86,147
20200609,2994,3082,3006,3164,49,68,411
20200610,3140,3231,3400,3316,164,306,335
20200611,3250,3347,3377,3336,70,112,21
20200612,3386,3523,3434,3603,34,331,251
20200613,3498,3690,4037,3848,90,620,466
20200614,3723,3733,3950,4238,3,256,440
20200615,3909,4000,4277,4366,3,633,478
20200616,4055,4150,4153,4348,34,191,417
20200617,4163,4403,4571,4863,69,353,683
20200618,4338,4438,4513,5026,8,42,676
20200619,4512,4780,4924,4756,145,521,46
20200620,4677,4884,4790,5480,111,36,777
20200621,4856,5001,5026,5693,19,204,727
20200622,5160,5134,5210,5509,169,33,54
20200623,5303,5538,5518,5729,32,188,86
20200624,5470,5553,5576,6423,33,105,749
20200625,5752,5906,5988,6834,59,19,759
20200626,5962,6060,6581,6860,125,687,637
20200627,6180,6291,6590,7277,121,575,878
20200628,6350,6716,6739,7374,108,248,741
20200629,6614,6677,6757,7249,141,256,131
20200630,6859,6993,7280,7621,163,105,128
20200701,7065,7522,7450,8232,183,98,687
20200702,7316,7589,8228,8945,107,900,1017
20200703,7545,7930,7862,8264,126,116,212
20200704,8106,8105,8926,8979,49,1151,330
20200705,8601,8674,8610,9371,41,144,645
20200706,9070,9209,8839,9824,13,430,747
20200707,9526,9569,9529,10182,243,216,695
20200708,10097,10048,9902,10474,284,43,703
20200709,10624,10872,10784,11143,127,491,1033
20200710,11201,11166,10884,11263,259,103,923
20200711,11956,11816,11579,12019,349,258,952
20200712,12526,12834,13105,12220,655,1196,236
20200713,13121,13452,12988,12557,766,128,162
20200714,13737,13803,13874,13470,343,199,361
20200715,14280,14433,14610,13839,388,302,372
20200716,14898,15157,16273,14484,411,1635,355
20200717,15392,15663,15881,15574,309,4,67
20200718,16110,16322,17349,17011,498,1328,317
20200719,16701,17236,17094,17309,156,83,553
20200720,17437,17703,17784,18641,477,181,492
20200721,18110,18282,18573,18716,462,428,462
20200722,18757,19099,20657,19792,433,2354,120
20200723,19835,19897,20394,21071,283,767,268
20200724,21099,20915,20815,20959,542,65,586
20200725,22693,22208,21353,21889,661,382,818
20200726,24013,24094,22840,22772,476,314,638
20200727,25389,25343,24193,23945,592,25,266
20200728,26892,27010,25760,25407,538,259,514
20200729,28107,28279,27737,25866,493,698,233
20200730,29175,29755,29109,27520,515,97,114
20200731,30378,30743,30760,30002,544,5,797
20200801,31877,32697,32191,31529,527,620,231
20200802,33479,33441,33725,33584,920,813,621
20200803,34913,35177,34608,35230,841,913,215
20200804,36297,36563,36523,36896,1063,323,634
20200805,37681,38316,38094,37699,783,39,889
20200806,39018,40951,43125,41905,199,4935,2208
20200807,40717,40870,41558,42225,851,580,864
20200808,42550,42847,43444,43207,1254,2261,1184
20200809,44193,44681,44593,45985,1204,258,71
20200810,45927,46743,46165,47664,843,39,136
20200811,47455,48264,48849,49665,1194,406,423
20200812,48796,49797,50160,52526,1322,26,1282
20200813,50672,51256,52303,55298,1129,213,2484
20200814,52653,53461,53989,55234,1888,170,584
20200815,54630,55018,62699,60211,1164,10418,3070
20200816,57126,58717,57479,65614,524,335,7102
20200817,60050,59905,60424,64710,1238,948,3289
20200818,62294,63806,62567,65290,2632,2715,469
20200819,64533,65371,65403,68125,1532,1128,2744
20200820,67122,67833,68359,71496,1687,445,4003
20200821,70020,70073,71871,72819,1640,1812,1200
20200822,72718,73136,73573,75174,1284,1076,775
20200823,75537,76685,77032,75820,1172,1924,2745
20200824,78530,79335,79065,80714,2723,143,1226
20200825,81479,83451,89516,85086,1501,10888,516
20200826,84231,86770,85419,85227,1940,63,3388
20200827,87602,89243,88166,91237,1434,977,372
20200828,90986,91957,91801,95959,2021,470,1854
20200829,94668,95345,95372,97853,2653,1460,903
20200830,97920,100047,98969,100376,2150,92,2861
20200831,100934,102960,102507,105774,1155,541,541
20200901,103536,105840,106351,106963,2297,732,3596
20200902,106561,108871,111288,112591,2640,338,2263
20200903,109780,112707,113708,114427,841,926,3815
20200904,113411,114756,116436,120596,2667,907,2656
20200905,116678,119320,119313,128840,4685,1472,3002
20200906,120221,122276,123553,134512,3247,1410,4746
20200907,124031,126436,129230,138304,4222,1650,4252
20200908,127892,131458,139737,146906,764,11655,13218
20200909,131382,134922,140282,144006,1795,8405,1466
20200910,135130,138756,138535,144826,5608,2522,3470
20200911,139121,140741,145086,148469,3794,4005,1086
20200912,143117,145979,146853,152340,4997,348,6169
20200913,146894,149642,153206,158575,4898,2947,3931
20200914,150807,153605,155816,172097,5041,584,10888
20200915,155005,158685,161057,163628,3730,1331,9776
20200916,158650,162235,164282,170663,4340,1206,5965
20200917,162920,166911,169439,173271,2784,1949,9031
20200918,167161,172300,173198,180143,802,893,7152
20200919,171341,175332,176703,202048,5909,651,17531
20200920,175550,179969,179846,201778,6133,2497,12820
20200921,179880,185699,190258,195740,2259,4315,5134
20200922,184122,193577,191568,202277,3227,143,3670
20200923,188311,193942,194064,201436,6393,2272,12862
20200924,192548,197464,198178,220731,4717,716,7135
20200925,196888,202478,206027,218676,3357,2038,2550
20200926,201096,206169,211052,229524,7035,1794,7622
20200927,205452,212056,214829,246858,5417,2048,20814
20200928,209374,216964,218727,232017,4884,987,6627
20200929,212609,220042,225410,238367,4124,3044,4368
20200930,215676,223187,231654,246669,8011,5533,263
20201001,219119,225741,233885,264354,4462,2336,16941
20201002,222734,229048,237215,258241,6087,1167,4356
20201003,226334,232643,239778,255566,6279,2108,13088
20201004,229387,236129,243293,263500,6469,363,8853
20201005,232713,242285,275631,265404,3582,38194,13396
20201006,235330,247037,253487,291756,4306,3816,17588
20201007,238003,247422,258310,278010,4551,8666,8035
20201008,240998,251406,264199,283579,3557,13035,2100
20201009,244142,251608,260756,296472,7267,3528,8721
20201010,246839,256292,262022,297117,8130,1726,2405
20201011,249693,261000,266342,286747,1451,963,17653
20201012,252239,261702,270284,287470,6693,577,19877
20201013,254662,272660,271662,288871,1391,2680,20072
20201014,256937,268656,284805,302676,3100,14746,8088
20201015,259541,269562,279719,298829,10328,6942,17232
20201016,262011,273497,279534,312141,6354,1206,4589
20201017,264149,276101,282785,308741,4776,155,12140
20201018,266345,276809,293031,312010,8308,12035,15726
20201019,268364,276654,287162,320323,6851,3695,5903
20201020,270346,281521,294973,345260,6927,3763,26958
20201021,272250,282747,302161,318698,6759,11399,21192
20201022,274181,285988,295003,352450,6722,570,28385
20201023,276094,286266,304651,336871,4105,13945,2891
20201024,277887,289727,306050,323219,9278,11533,19103
20201025,279582,290376,301739,337524,6993,5633,7083
20201026,281215,289483,305881,333111,6294,4901,17250
20201027,282695,300547,303350,329160,5847,968,20717
20201028,283942,290400,309278,371702,2712,3471,29983
20201029,285482,292593,310287,332106,3385,11304,26645
20201030,287099,297292,309336,337872,6415,1093,17545
20201031,288646,295372,309186,344268,2208,2619,11569
20201101,290116,294485,309839,348907,227,2754,6403
20201102,291825,297245,312470,361549,907,2526,4659
20201103,293214,297685,316334,359141,486,186,1777
20201104,294415,307111,316704,358525,6468,1661,523
20201105,295889,308901,318163,359333,4215,758,967
20201106,297274,312211,327538,361641,7689,18612,646
20201107,298768,312303,320137,362427,7099,2830,660
20201108,300140,312506,323282,364877,4491,2825,3819
20201109,301574,313421,324699,365526,7558,3858,2960
20201110,302793,314969,328025,359156,7387,7819,13914
20201111,303780,314644,329638,357832,6540,4263,14561
20201112,305000,322092,327412,358145,17490,2910,15878
20201113,305986,312779,333711,369419,1440,9560,10865
20201114,307004,317317,332268,362741,5494,3099,16107
20201115,307906,319403,330450,381792,6830,862,30448
20201116,308659,316212,329793,369114,4758,2003,12644
20201117,309408,318317,331990,368958,2359,2352,16384
20201118,310052,320896,332833,371360,2557,205,2991
20201119,310920,323606,333841,379356,3611,800,953
20201120,311788,326593,332221,375937,5677,282,4957
20201121,312545,319633,331776,374925,3021,970,6840
20201122,313323,320874,337099,363629,67,1030,15929
20201123,313961,322568,337261,381684,2057,416,2074
20201124,314629,335208,337382,382520,3780,1847,320
20201125,315271,324729,336454,383048,3811,1843,2954
20201126,316001,322411,336018,383410,3284,2634,1498
20201127,316645,329584,338690,382385,5262,1535,3773
20201128,317239,325417,340692,383692,2557,2618,654
20201129,317789,340972,339817,385481,11982,379,1360
20201130,318307,325493,339628,382351,1386,515,1621
20201201,318725,323849,344899,386101,288,6429,698
20201202,319103,324464,341241,386850,1892,2045,1273
20201203,319583,327239,341660,386370,1097,208,383
20201204,320017,327024,343936,386657,1683,507,992
20201205,320394,337339,343208,386068,7723,1746,1595
20201206,320803,339191,347559,386090,5457,4245,1291
20201207,321196,327409,343511,389025,830,1007,1301
20201208,321564,326397,343475,385409,568,602,92
20201209,321913,329462,343913,385633,45,494,1916
20201210,322299,327597,344512,401888,828,104,20519
20201211,322642,329983,345123,385237,1811,1092,960
20201212,323029,328363,344608,386474,527,214,816
20201213,323364,335776,344813,389058,3309,776,471
20201214,323757,330045,344809,388723,2238,59,47
20201215,324089,336575,345955,391739,5271,1244,6
20201216,324389,330617,345597,389681,1022,1171,2037
20201217,324796,330669,346927,387249,1131,1729,4567
20201218,325147,339744,346836,389342,748,369,1671
20201219,325505,335809,346928,387868,8027,2677,941
20201220,325861,339374,347606,389499,12675,152,1147
20201221,326233,331481,346492,390509,597,314,1563
20201222,326596,333648,347780,389839,2494,841,2747
20201223,326915,332380,347659,389005,1209,1999,1549
20201224,327279,337405,349243,390754,7994,551,642
20201225,327542,341120,348795,390701,7248,771,2289
20201226,327867,333109,349466,389771,1186,2728,756
20201227,328201,336297,349489,389335,471,223,628
20201228,328504,337926,350020,388463,6078,997,811
20201229,328738,340886,350985,389894,9288,2487,1946
20201230,329001,335287,350104,391158,2646,1039,901
20201231,329306,343948,348987,391213,11294,818,1854
20210101,329621,336002,350131,390087,910,398,278
20210102,329866,336910,350311,392499,1470,2296,6349
20210103,330117,335879,350974,389462,1240,820,2930
20210104,330309,339313,350581,388167,736,2407,3627
20210105,330492,336056,351908,389591,857,4039,1913
20210106,330690,342563,350455,390690,10659,1873,2902
20210107,330921,338256,352058,387941,4522,702,635
20210108,331151,339741,352438,418933,1420,792,35536
20210109,331396,337621,350751,391500,1817,97,582
20210110,331602,344938,364566,391307,6089,18095,1073
20210111,331862,340552,354344,391344,3891,3948,1176
20210112,332106,337352,352728,389839,1284,1134,148
20210113,332331,337398,351319,390968,957,910,985
20210114,332541,338627,364551,391904,749,16764,590
20210115,332763,340023,352673,390063,247,553,2337
20210116,332949,339024,355319,389822,679,1466,3367
20210117,333127,338617,352172,391042,2003,2482,974
20210118,333310,339771,352741,390451,2239,42,871
20210119,333444,338907,352328,390064,1258,347,2543
20210120,333566,339161,353498,386773,1028,992,1543
20210121,333723,340225,353023,391365,377,485,467
20210122,333866,339310,352310,390601,2262,1451,1101
20210123,334020,347083,353465,391179,2167,716,1012
20210124,334150,340617,354514,389229,3887,462,353
20210125,334300,347435,351275,391008,7261,273,306
20210126,334430,340099,353609,388554,887,910,87
20210127,334529,347293,353918,388787,6654,998,27
20210128,334667,353025,353223,392662,2579,627,1097
20210129,334780,347940,354094,388165,40,2965,1196
20210130,334850,346275,356017,391962,5995,2888,73
20210131,334958,338897,355220,390298,10,2868,335
20210201,335072,339758,353436,392873,413,533,3640
20210202,335151,342671,355012,389448,926,4822,221
20210203,335211,339696,354353,387646,152,2970,2614
20210204,335282,340973,353324,389915,2275,551,3486
20210205,335369,347633,358247,388253,7497,5923,479
20210206,335466,344128,354824,389702,5497,1524,1517
20210207,335548,348488,352865,390299,5215,98,539
20210208,335620,345840,353004,390836,1000,993,3936
20210209,335692,340691,353364,387804,1212,2103,620
20210210,335797,341496,353088,387957,791,1832,623
20210211,335889,350569,352929,388074,6308,549,1589
20210212,335984,345747,353141,407127,3002,778,18399
